symbol,profile.mktCap,profile.companyName,profile.industry,profile.description,profile.sector
CMCSA,1.92E+11,Comcast Corporation Class A Common Stock,Entertainment,"Comcast Corp is a media and technology company. It mainly involves in the cable industry and owns Comcast Cable, E!, NBCUniversal, and the NBC broadcast network.",Consumer Cyclical
KMI,3.91E+10,Kinder Morgan Inc.,Oil & Gas - Midstream,"Kinder Morgan Inc is an energy infrastructure company. The Company transports natural gas, refined petroleum products, crude oil, condensate, CO2 and other products.",Energy
INTC,2.67E+11,Intel Corporation,Semiconductors,"Intel Corp is the world's largest chipmaker. It engaged in making a semiconductor chip. It designs and manufactures integrated digital technology products like integrated circuits, for industries such as computing and communications.",Technology
MU,5.91E+10,Micron Technology Inc.,Semiconductors,"Micron Technology Inc along with its subsidiaries provide memory and storage solutions. Its product portfolio consists of memory and storage technologies such as DRAM, NAND, NOR and 3D XPoint memory.",Technology
BAC,2.45E+11,Bank of America Corporation,Banks,"Bank of America Corporation is a bank holding and a financial holding company. The company provides financial products and services to people, companies and institutional investors.",Financial Services
AAPL,1.49E+12,Apple Inc.,Computer Hardware,"Apple Inc designs, manufactures and markets mobile communication and media devices and personal computers, and sells a variety of related software, services, accessories, networking solutions and third-party digital content and applications.",Technology
MSFT,1.44E+12,Microsoft Corporation,Application Software,"Microsoft Corp is a technology company. It develop, license, and support a wide range of software products and services. Its business is organized into three segments: Productivity and Business Processes, Intelligent Cloud, and More Personal Computing.",Technology
HPQ,2.50E+10,HP Inc.,Computer Hardware,"HP Inc provides products, technologies, software, solutions and services to individual consumers, small- and medium-sized businesses including customers in the government, health and education sectors.",Technology
CZR,8.30E+09,Caesars Entertainment Corporation,Travel & Leisure,"Caesars Entertainment Corp along is engaged in providing casino-entertainment and hospitality services. Its facilities include gaming offerings, food and beverage outlets, hotel and convention space, and non-gaming entertainment options.",Consumer Cyclical
SNAP,3.05E+10,Snap Inc. Class A,Online Media,"Snap Inc is a camera application developer. Its main product is Snapchat, a camera application created to help people communicate through short videos and images. It also offers Spectacles, which are camera-enabled sunglasses.",Technology
FB,6.80E+11,Facebook Inc.,Online Media,"Facebook Inc is the world's largest online social network. Its products are Facebook, Instagram, Messenger, WhatsApp, and Oculus. Its products enable people to connect and share through mobile devices and personal computers.",Technology
WFC,1.34E+11,Wells Fargo & Company,Banks,Wells Fargo & Co operates as one of the largest banks in the United States. Its business operations are split into three segments: Community banking; Wholesale banking; and Wealth and Investment Management.,Financial Services
AIG,3.25E+10,American International Group Inc.,Insurance,"American International Group Inc is an insurance company. The company through its subsidiaries provides property casualty insurance, life insurance, retirement products, mortgage insurance and other financial services in the United States and abroad.",Financial Services
T,2.32E+11,AT&T Inc.,Communication Services,"AT&T Inc is engaged in provision of communications and digital entertainment services in the United States and the world. It provides fixed-line services, including voice, data, and television services to consumers and small businesses.",Communication Services
C,1.24E+11,Citigroup Inc.,Banks,"Citigroup Inc is a financial-services company with business spanning more than 100 countries. Its core business is providing banking services, investment banking, cash management, and various other products and services.",Financial Services
VALE,5.76E+10,VALE S.A. American Depositary Shares Each Representing one,Metals & Mining,"Vale SA is a metals and mining company. It produces and supplies iron ore, iron ore pellets, nickel, manganese ore, ferroalloys, copper, coal, phosphates, potash, cobalt and others.",Basic Materials
MS,7.94E+10,Morgan Stanley,Brokers & Exchanges,"Morgan Stanley is a global investment bank. The company has institutional securities, wealth-management, and asset-management segments.",Financial Services
JPM,3.37E+11,JP Morgan Chase & Co.,Banks,"JPMorgan Chase & Co is a financial services firm and a banking institution. It is engaged in investment banking, commercial banking, treasury and securities services, asset management, retail financial services, and credit card businesses.",Financial Services
ORCL,1.71E+11,Oracle Corporation,Application Software,"Oracle Corp is a computer software company. It sells enterprise information technology solutions, including databases, middleware, applications, and hardware. The Company primarily offers software licenses, support, and maintenance services worldwide.",Technology
NKE,1.60E+11,Nike Inc.,Manufacturing - Apparel & Furniture,"Nike Inc designs, develops and markets footwear, apparel, equipment, and accessory products. It is a seller of athletic footwear and athletic apparel. It sells its products through NIKE-owned in-line and factory retail stores and internet websites.",Consumer Cyclical
PG,2.93E+11,Procter & Gamble Company (The),Consumer Packaged Goods,"Procter & Gamble Co is a consumer goods company. The firm markets its products internationally through various channels which include mass merchandisers, grocery stores, membership club stores, drug stores, and department stores.",Consumer Defensive
